"title","url","published_at","tags_json","tags_sc","published_at_detail","thumbnail_url"
"카카오, 아동 및 청소년 보호 강화 위한 ‘카카오톡 운영정책’ 개정","https://www.kakaocorp.com/page/detail/11556","2025-05-19","[""카카오"", ""카카오톡"", ""운영정책"", ""아동"", ""아동청소년""]","카카오; 카카오톡; 운영정책; 아동; 아동청소년","","https://t1.kakaocdn.net/kakaocorp/kakaocorp/admin/news/e62832cb019600001.jpeg?type=thumb&opt=C800x400"
"카카오프렌즈, 2025 프로야구단 X 춘식이 컬래버 굿즈 출시","https://www.kakaocorp.com/page/detail/11555","2025-05-19","[""카카오프렌즈"", ""춘식이"", ""캐릭터"", ""IP""]","카카오프렌즈; 춘식이; 캐릭터; IP","","https://t1.kakaocdn.net/kakaocorp/kakaocorp/admin/news/e6088f65019600001.jpg?type=thumb&opt=C800x400"
"매일 특별해지는 나를 위한 선물하기 카카오톡 선물하기, 나에게 선물(FOR ME) 탭 오픈","https://www.kakaocorp.com/page/detail/11554","2025-05-19","[""나에게선물"", ""선물하기"", ""카카오톡""]","나에게선물; 선물하기; 카카오톡","","https://t1.kakaocdn.net/kakaocorp/kakaocorp/admin/news/e5cff3a6019600001.jpg?type=thumb&opt=C800x400"
"미니 이모티콘으로 즐기는 텍스트힙...카카오, 미니 이모티콘 ‘문자기획전’ 진행","https://www.kakaocorp.com/page/detail/11553","2025-05-15","[""기획전"", ""미니"", ""이모티콘"", ""카카오"", ""텍스트힙""]","기획전; 미니; 이모티콘; 카카오; 텍스트힙","","https://t1.kakaocdn.net/kakaocorp/kakaocorp/admin/news/d1a10c3d019600001.jpg?type=thumb&opt=C800x400"
"카카오, 기업 메시지 상품 ‘브랜드 메시지’ 정식 출시","https://www.kakaocorp.com/page/detail/11552","2025-05-15","[""게임광고"", ""브랜드"", ""친구톡"", ""카카오비즈니스""]","게임광고; 브랜드; 친구톡; 카카오비즈니스","","https://t1.kakaocdn.net/kakaocorp/kakaocorp/admin/news/d17243aa019600001.jpg?type=thumb&opt=C800x400"
"카카오, 환경부와 ‘카카오메이커스 종이팩 회수 시범사업’ 업무 협약 체결","https://www.kakaocorp.com/page/detail/11551","2025-05-15","[""ESG"", ""새가버치"", ""카카오메이커스""]","ESG; 새가버치; 카카오메이커스","","https://t1.kakaocdn.net/kakaocorp/kakaocorp/admin/news/d2803923019600001.jpeg?type=thumb&opt=C800x400"
"다음(Daum), 제21대 대통령 선거 특집 페이지 업데이트","https://www.kakaocorp.com/page/detail/11547","2025-05-14","[""콘텐츠CIC"", ""다음"", ""대선특집페이지"", ""대통령선거""]","콘텐츠CIC; 다음; 대선특집페이지; 대통령선거","","https://t1.kakaocdn.net/kakaocorp/kakaocorp/admin/news/cbcc4039019600001.png?type=thumb&opt=C800x400"
"카카오, APEC 고용노동장관회의 고용노동부 전시 참여, ‘카카오테크 부트캠프’ 소개","https://www.kakaocorp.com/page/detail/11546","2025-05-13","[""카카오테크부트캠프"", ""인재양성교육"", ""ESG"", ""더가깝게카카오""]","카카오테크부트캠프; 인재양성교육; ESG; 더가깝게카카오","","https://t1.kakaocdn.net/kakaocorp/kakaocorp/admin/news/c72d1707019600001.jpeg?type=thumb&opt=C800x400"
"카카오, AI 메이트 서비스 ‘카나나’ CBT 시작","https://www.kakaocorp.com/page/detail/11545","2025-05-08","[""카카오"", ""카나나"", ""CBT"", ""AI메이트""]","카카오; 카나나; CBT; AI메이트","","https://t1.kakaocdn.net/kakaocorp/kakaocorp/admin/news/ad740b0b019600001.png?type=thumb&opt=C800x400"
"Kakao Begins CBT for AI Mate Service “Kanana”","https://www.kakaocorp.com/page/detail/11652","2025-05-08","[""Kakao"", ""Kanana"", ""CBT""]","Kakao; Kanana; CBT","","https://t1.kakaocdn.net/kakaocorp/kakaocorp/admin/news/878ce0e7019800001.png?type=thumb&opt=C800x400"
"카카오, 2025년 1분기 매출액 1조8,637억원·영업이익 1,054억원 기록","https://www.kakaocorp.com/page/detail/11544","2025-05-08","[""1분기실적"", ""실적발표"", ""IR"", ""2025년실적""]","1분기실적; 실적발표; IR; 2025년실적","","https://t1.kakaocdn.net/kakaocorp/kakaocorp/admin/news/acff2426019600001.png?type=thumb&opt=C800x400"
"카카오톡, 생일축하 등 감정표현 키워드에 반응하는 리액션 기능 선보여","https://www.kakaocorp.com/page/detail/11537","2025-05-06","[""카카오톡"", ""리액션기능"", ""링키파이""]","카카오톡; 리액션기능; 링키파이","","https://t1.kakaocdn.net/kakaocorp/kakaocorp/admin/news/a358281d019600001.jpg?type=thumb&opt=C800x400"
"카카오, ‘2025 찾아가는 시니어 디지털 스쿨’ 교육기관 모집","https://www.kakaocorp.com/page/detail/11535","2025-05-02","[""더가깝게카카오"", ""찾아가는시니어디지털스쿨"", ""카카오임팩트""]","더가깝게카카오; 찾아가는시니어디지털스쿨; 카카오임팩트","","https://t1.kakaocdn.net/kakaocorp/kakaocorp/admin/news/8b8591cb019600001.png?type=thumb&opt=C800x400"
"기차여행도 카카오맵과 함께…카카오맵, 전국 주요 기차역 실내지도 서비스 오픈","https://www.kakaocorp.com/page/detail/11536","2025-05-02","[""카카오"", ""카카오맵"", ""실내지도"", ""기차역""]","카카오; 카카오맵; 실내지도; 기차역","","https://t1.kakaocdn.net/kakaocorp/kakaocorp/admin/news/8e17b6ee019600001.jpg?type=thumb&opt=C800x400"
"카카오, 국내 최초 텍스트·음성·이미지 통합 멀티모달 언어모델 'Kanana-o' 성능 공개","https://www.kakaocorp.com/page/detail/11534","2025-05-01","[""카카오"", ""인공지능모델"", ""통합멀티모달언어모델"", ""카나나""]","카카오; 인공지능모델; 통합멀티모달언어모델; 카나나","","https://t1.kakaocdn.net/kakaocorp/kakaocorp/admin/news/891bfd15019600001.jpg?type=thumb&opt=C800x400"
"다음(Daum), 콘텐츠 큐레이션 강화한 2차 모바일 앱 개편 단행","https://www.kakaocorp.com/page/detail/11533","2025-04-30","[""콘텐츠CIC"", ""다음"", ""다음앱"", ""디디"", ""루프""]","콘텐츠CIC; 다음; 다음앱; 디디; 루프","","https://t1.kakaocdn.net/kakaocorp/kakaocorp/admin/news/8400e03d019600001.png?type=thumb&opt=C800x400"
"행복이 넘치는 5월, 가정의 달 카카오톡 선물하기, 가정의 달 맞이 테마 이벤트 진행","https://www.kakaocorp.com/page/detail/11532","2025-04-29","[""카카오톡"", ""카카오쇼핑라이브"", ""선물하기"", ""카쇼라"", ""가정의""]","카카오톡; 카카오쇼핑라이브; 선물하기; 카쇼라; 가정의","","https://t1.kakaocdn.net/kakaocorp/kakaocorp/admin/news/7f0fd0ea019600001.jpg?type=thumb&opt=C800x400"
"카카오테크 캠퍼스, 고용노동부 ‘미래내일 일경험 사업’ 선정","https://www.kakaocorp.com/page/detail/11531","2025-04-28","[""카카오테크"", ""카카오테크"", ""ESG""]","카카오테크; 카카오테크; ESG","","https://t1.kakaocdn.net/kakaocorp/kakaocorp/admin/news/79cb8962019600001.jpg?type=thumb&opt=C800x400"
"“카카오 브런치스토리, 저작권 존중 문화 확산에 나선다” 카카오, 한국저작권위원회와 함께 ‘2025 저작권 글 공모전’ 진행","https://www.kakaocorp.com/page/detail/11528","2025-04-24","[""브런치스토리"", ""카카오"", ""콘텐츠CIC""]","브런치스토리; 카카오; 콘텐츠CIC","","https://t1.kakaocdn.net/kakaocorp/kakaocorp/admin/news/64f0a4f8019600001.jpg?type=thumb&opt=C800x400"
"카카오톡 예약하기, 행정안전부 ‘공유누리’ 서비스 예약 오픈","https://www.kakaocorp.com/page/detail/11525","2025-04-20","[""카카오"", ""카카오톡"", ""행정안전부"", ""공공누리""]","카카오; 카카오톡; 행정안전부; 공공누리","","https://t1.kakaocdn.net/kakaocorp/kakaocorp/admin/news/51120717019600001.jpg?type=thumb&opt=C800x400"
